yýl;ceyrek;bym_orani
2003;Q1;-0.1463
2003;Q2;0.1171
2003;Q3;0.1376
2003;Q4;-0.0152
2004;Q1;-0.1133
2004;Q2;0.125
2004;Q3;0.1033
2004;Q4;-0.0138
2005;Q1;-0.1047
2005;Q2;0.1076
2005;Q3;0.1051
2005;Q4;0.0078
2006;Q1;-0.137
2006;Q2;0.1379
2006;Q3;0.0707
2006;Q4;0.0096
2007;Q1;-0.1203
2007;Q2;0.0856
2007;Q3;0.075
2007;Q4;0.0282
2008;Q1;-0.1062
2008;Q2;0.035
2008;Q3;0.0618
2008;Q4;-0.0432
2009;Q1;-0.1872
2009;Q2;0.1286
2009;Q3;0.1214
2009;Q4;0.001
2010;Q1;-0.156
2010;Q2;0.1408
2010;Q3;0.1277
2010;Q4;0.01
2011;Q1;-0.1396
2011;Q2;0.1382
2011;Q3;0.1285
2011;Q4;-0.0044
2012;Q1;-0.1653
2012;Q2;0.1201
2012;Q3;0.1135
2012;Q4;0.0008
2013;Q1;-0.1314
2013;Q2;0.1337
2013;Q3;0.1051
2013;Q4;-0.0169
2014;Q1;-0.1185
2014;Q2;0.0733
2014;Q3;0.1119
2014;Q4;0.003
2015;Q1;-0.1349
2015;Q2;0.1109
2015;Q3;0.0969
2015;Q4;0.0207
2016;Q1;-0.1562
2016;Q2;0.1115
2016;Q3;0.0376
2016;Q4;0.0731
2017;Q1;-0.1493
2017;Q2;0.1117
2017;Q3;0.1016
2017;Q4;0.0297
2018;Q1;-0.1476
2018;Q2;0.0946
2018;Q3;0.0665
2018;Q4;-0.0219
2019;Q1;-0.1466
2019;Q2;0.1041
2019;Q3;0.0964
2019;Q4;0.0296
2020;Q1;-0.1621
2020;Q2;-0.0475
